"TransactionID","ProductID","ReferenceOrderID","ReferenceOrderLineID","TransactionDate","TransactionType","Quantity","ActualCost","ModifiedDate"
"23","773","43659","6","2011-05-31 00:00:00","S","2","2447.9928","2011-05-31 00:00:00"
"24","774","43659","7","2011-05-31 00:00:00","S","1","2447.9928","2011-05-31 00:00:00"
"25","776","43659","1","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"26","777","43659","2","2011-05-31 00:00:00","S","3","2429.9928","2011-05-31 00:00:00"
"27","778","43659","3","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"28","758","43660","2","2011-05-31 00:00:00","S","1","1049.7528","2011-05-31 00:00:00"
"29","762","43660","1","2011-05-31 00:00:00","S","1","503.3507","2011-05-31 00:00:00"
"30","708","43661","15","2011-05-31 00:00:00","S","5","20.1865","2011-05-31 00:00:00"
"31","711","43661","9","2011-05-31 00:00:00","S","2","20.1865","2011-05-31 00:00:00"
"32","712","43661","4","2011-05-31 00:00:00","S","4","5.6187","2011-05-31 00:00:00"
"33","715","43661","5","2011-05-31 00:00:00","S","4","31.2437","2011-05-31 00:00:00"
"34","716","43661","13","2011-05-31 00:00:00","S","2","31.2437","2011-05-31 00:00:00"
"35","741","43661","10","2011-05-31 00:00:00","S","2","1009.7300","2011-05-31 00:00:00"
"36","742","43661","6","2011-05-31 00:00:00","S","2","891.2004","2011-05-31 00:00:00"
"37","743","43661","2","2011-05-31 00:00:00","S","1","881.4687","2011-05-31 00:00:00"
"38","745","43661","1","2011-05-31 00:00:00","S","1","998.7040","2011-05-31 00:00:00"
"39","747","43661","3","2011-05-31 00:00:00","S","2","881.4687","2011-05-31 00:00:00"
"40","773","43661","12","2011-05-31 00:00:00","S","2","2447.9928","2011-05-31 00:00:00"
"41","775","43661","7","2011-05-31 00:00:00","S","3","2429.9928","2011-05-31 00:00:00"
"42","776","43661","11","2011-05-31 00:00:00","S","4","2429.9928","2011-05-31 00:00:00"
"43","777","43661","14","2011-05-31 00:00:00","S","2","2429.9928","2011-05-31 00:00:00"
"44","778","43661","8","2011-05-31 00:00:00","S","2","2429.9928","2011-05-31 00:00:00"
"45","722","43662","15","2011-05-31 00:00:00","S","3","220.2496","2011-05-31 00:00:00"
"46","725","43662","5","2011-05-31 00:00:00","S","3","226.8571","2011-05-31 00:00:00"
"47","726","43662","18","2011-05-31 00:00:00","S","1","226.8571","2011-05-31 00:00:00"
"48","729","43662","14","2011-05-31 00:00:00","S","1","226.8571","2011-05-31 00:00:00"
"49","730","43662","3","2011-05-31 00:00:00","S","2","226.8571","2011-05-31 00:00:00"
"50","732","43662","12","2011-05-31 00:00:00","S","1","440.1742","2011-05-31 00:00:00"
"51","733","43662","19","2011-05-31 00:00:00","S","1","440.1742","2011-05-31 00:00:00"
"52","738","43662","20","2011-05-31 00:00:00","S","1","220.2496","2011-05-31 00:00:00"
"53","749","43662","16","2011-05-31 00:00:00","S","1","2576.3544","2011-05-31 00:00:00"
"54","753","43662","9","2011-05-31 00:00:00","S","1","2576.3544","2011-05-31 00:00:00"
"55","754","43662","4","2011-05-31 00:00:00","S","4","1049.7528","2011-05-31 00:00:00"
"56","755","43662","22","2011-05-31 00:00:00","S","1","1049.7528","2011-05-31 00:00:00"
"57","756","43662","10","2011-05-31 00:00:00","S","1","1049.7528","2011-05-31 00:00:00"
"58","758","43662","13","2011-05-31 00:00:00","S","6","1049.7528","2011-05-31 00:00:00"
"59","760","43662","17","2011-05-31 00:00:00","S","3","503.3507","2011-05-31 00:00:00"
"60","762","43662","6","2011-05-31 00:00:00","S","5","503.3507","2011-05-31 00:00:00"
"61","763","43662","11","2011-05-31 00:00:00","S","3","503.3507","2011-05-31 00:00:00"
"62","764","43662","1","2011-05-31 00:00:00","S","3","503.3507","2011-05-31 00:00:00"
"63","765","43662","7","2011-05-31 00:00:00","S","3","503.3507","2011-05-31 00:00:00"
"64","766","43662","21","2011-05-31 00:00:00","S","3","503.3507","2011-05-31 00:00:00"
"65","768","43662","8","2011-05-31 00:00:00","S","2","503.3507","2011-05-31 00:00:00"
"66","770","43662","2","2011-05-31 00:00:00","S","5","503.3507","2011-05-31 00:00:00"
"67","760","43663","1","2011-05-31 00:00:00","S","1","503.3507","2011-05-31 00:00:00"
"68","714","43664","3","2011-05-31 00:00:00","S","1","31.2437","2011-05-31 00:00:00"
"69","716","43664","4","2011-05-31 00:00:00","S","1","31.2437","2011-05-31 00:00:00"
"70","771","43664","6","2011-05-31 00:00:00","S","3","2447.9928","2011-05-31 00:00:00"
"71","772","43664","1","2011-05-31 00:00:00","S","1","2447.9928","2011-05-31 00:00:00"
"72","773","43664","7","2011-05-31 00:00:00","S","1","2447.9928","2011-05-31 00:00:00"
"73","775","43664","2","2011-05-31 00:00:00","S","4","2429.9928","2011-05-31 00:00:00"
"74","777","43664","5","2011-05-31 00:00:00","S","2","2429.9928","2011-05-31 00:00:00"
"75","778","43664","8","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"76","707","43665","3","2011-05-31 00:00:00","S","1","20.1865","2011-05-31 00:00:00"
"77","709","43665","9","2011-05-31 00:00:00","S","6","6.1750","2011-05-31 00:00:00"
"78","711","43665","1","2011-05-31 00:00:00","S","2","20.1865","2011-05-31 00:00:00"
"79","712","43665","6","2011-05-31 00:00:00","S","2","5.6187","2011-05-31 00:00:00"
"80","715","43665","4","2011-05-31 00:00:00","S","2","31.2437","2011-05-31 00:00:00"
"81","773","43665","2","2011-05-31 00:00:00","S","1","2447.9928","2011-05-31 00:00:00"
"82","775","43665","7","2011-05-31 00:00:00","S","2","2429.9928","2011-05-31 00:00:00"
"83","776","43665","10","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"84","777","43665","5","2011-05-31 00:00:00","S","2","2429.9928","2011-05-31 00:00:00"
"85","778","43665","8","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"86","732","43666","3","2011-05-31 00:00:00","S","1","440.1742","2011-05-31 00:00:00"
"87","753","43666","2","2011-05-31 00:00:00","S","1","2576.3544","2011-05-31 00:00:00"
"88","756","43666","4","2011-05-31 00:00:00","S","1","1049.7528","2011-05-31 00:00:00"
"89","764","43666","1","2011-05-31 00:00:00","S","1","503.3507","2011-05-31 00:00:00"
"90","766","43666","6","2011-05-31 00:00:00","S","1","503.3507","2011-05-31 00:00:00"
"91","768","43666","5","2011-05-31 00:00:00","S","2","503.3507","2011-05-31 00:00:00"
"92","710","43667","1","2011-05-31 00:00:00","S","3","6.1750","2011-05-31 00:00:00"
"93","773","43667","2","2011-05-31 00:00:00","S","1","2447.9928","2011-05-31 00:00:00"
"94","775","43667","4","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"95","778","43667","3","2011-05-31 00:00:00","S","1","2429.9928","2011-05-31 00:00:00"
"96","707","43668","7","2011-05-31 00:00:00","S","2","20.1865","2011-05-31 00:00:00"
"97","708","43668","27","2011-05-31 00:00:00","S","1","20.1865","2011-05-31 00:00:00"
"98","711","43668","8","2011-05-31 00:00:00","S","2","20.1865","2011-05-31 00:00:00"
"99","712","43668","10","2011-05-31 00:00:00","S","4","5.6187","2011-05-31 00:00:00"
"100","714","43668","25","2011-05-31 00:00:00","S","4","31.2437","2011-05-31 00:00:00"
