"BusinessEntityID","RateChangeDate","Rate","PayFrequency","ModifiedDate"
"44","2008-12-08 00:00:00","12.4500","1","2014-06-30 00:00:00"
"45","2009-02-26 00:00:00","12.4500","1","2014-06-30 00:00:00"
"46","2009-02-08 00:00:00","12.4500","1","2014-06-30 00:00:00"
"47","2009-02-22 00:00:00","25.0000","2","2014-06-30 00:00:00"
"48","2008-01-06 00:00:00","13.4500","1","2014-06-30 00:00:00"
"49","2008-01-07 00:00:00","13.4500","1","2014-06-30 00:00:00"
"50","2008-02-02 00:00:00","13.4500","1","2014-06-30 00:00:00"
"51","2008-02-20 00:00:00","13.4500","1","2014-06-30 00:00:00"
"52","2008-03-10 00:00:00","13.4500","1","2014-06-30 00:00:00"
"53","2008-03-28 00:00:00","13.4500","1","2014-06-30 00:00:00"
"54","2010-01-01 00:00:00","13.4500","1","2014-06-30 00:00:00"
"55","2008-02-08 00:00:00","25.0000","2","2014-06-30 00:00:00"
"56","2009-02-05 00:00:00","11.0000","1","2014-06-30 00:00:00"
"57","2009-02-23 00:00:00","11.0000","1","2014-06-30 00:00:00"
"58","2008-12-05 00:00:00","11.0000","1","2014-06-30 00:00:00"
"59","2008-12-24 00:00:00","11.0000","1","2014-06-30 00:00:00"
"60","2009-01-11 00:00:00","11.0000","1","2014-06-30 00:00:00"
"61","2009-01-18 00:00:00","11.0000","1","2014-06-30 00:00:00"
"62","2008-03-17 00:00:00","25.0000","2","2014-06-30 00:00:00"
"63","2010-01-29 00:00:00","12.4500","1","2014-06-30 00:00:00"
"64","2010-02-23 00:00:00","12.4500","1","2014-06-30 00:00:00"
"65","2010-02-23 00:00:00","12.4500","1","2014-06-30 00:00:00"
"66","2009-12-22 00:00:00","12.4500","1","2014-06-30 00:00:00"
"67","2009-03-05 00:00:00","12.4500","1","2014-06-30 00:00:00"
"68","2009-12-03 00:00:00","12.4500","1","2014-06-30 00:00:00"
"69","2009-02-15 00:00:00","12.4500","1","2014-06-30 00:00:00"
"70","2008-12-15 00:00:00","12.4500","1","2014-06-30 00:00:00"
"71","2009-02-15 00:00:00","25.0000","2","2014-06-30 00:00:00"
"72","2008-12-01 00:00:00","9.5000","1","2014-06-30 00:00:00"
"73","2008-12-19 00:00:00","9.5000","1","2014-06-30 00:00:00"
"74","2009-01-07 00:00:00","9.5000","1","2014-06-30 00:00:00"
"75","2009-01-26 00:00:00","9.5000","1","2014-06-30 00:00:00"
"76","2009-02-12 00:00:00","9.5000","1","2014-06-30 00:00:00"
"77","2009-03-03 00:00:00","9.5000","1","2014-06-30 00:00:00"
"78","2008-12-15 00:00:00","25.0000","2","2014-06-30 00:00:00"
"79","2010-01-24 00:00:00","15.0000","1","2014-06-30 00:00:00"
"80","2010-01-17 00:00:00","15.0000","1","2014-06-30 00:00:00"
"81","2009-12-29 00:00:00","15.0000","1","2014-06-30 00:00:00"
"82","2010-03-03 00:00:00","15.0000","1","2014-06-30 00:00:00"
"83","2010-02-12 00:00:00","15.0000","1","2014-06-30 00:00:00"
"84","2010-02-05 00:00:00","15.0000","1","2014-06-30 00:00:00"
"85","2009-12-11 00:00:00","15.0000","1","2014-06-30 00:00:00"
"86","2009-01-05 00:00:00","15.0000","1","2014-06-30 00:00:00"
"87","2008-12-22 00:00:00","25.0000","2","2014-06-30 00:00:00"
"88","2009-12-18 00:00:00","13.4500","1","2014-06-30 00:00:00"
"89","2010-02-01 00:00:00","13.4500","1","2014-06-30 00:00:00"
"90","2010-02-20 00:00:00","13.4500","1","2014-06-30 00:00:00"
"91","2010-01-12 00:00:00","13.4500","1","2014-06-30 00:00:00"
"92","2010-03-10 00:00:00","13.4500","1","2014-06-30 00:00:00"
"93","2008-12-27 00:00:00","25.0000","2","2014-06-30 00:00:00"
"94","2008-12-12 00:00:00","11.0000","1","2014-06-30 00:00:00"
"95","2008-12-19 00:00:00","11.0000","1","2014-06-30 00:00:00"
"96","2009-03-02 00:00:00","11.0000","1","2014-06-30 00:00:00"
